BJD	RV	RVerr	RHK	RHKerr	S	Serr	BIS	BISerr	FWHM	FWHMerr	Constrast	Contrasterr
5.725198008409460454e+04	-1.761166666666666458e+01	1.126141649960427787e-01	-4.980000000000000426e+00	6.928203230275508046e-04	1.630100000000000160e-01	1.150854754809079697e-04	-9.010218081969732395e+01	2.252283299920853910e-01	7.781944333333332906e+03	2.252283299920853910e-01	6.006608499999999395e+01	1.760306306998299939e-03
5.725287920852556999e+04	-1.749633333333333596e+01	1.187033074802930493e-01	-4.980566666666666364e+00	7.505553499465134710e-04	1.629086666666666738e-01	1.241312029892385988e-04	-8.986600498266484749e+01	2.374066149605860987e-01	7.782488333333333685e+03	2.374066149605860987e-01	6.008959200000000322e+01	1.856109580203888073e-03
5.725392418441180052e+04	-1.755966666666666853e+01	1.163029598972925432e-01	-4.981833333333333336e+00	7.318166133366715322e-04	1.627013333333333367e-01	1.206671270709448735e-04	-9.036862091368344352e+01	2.326059197945850865e-01	7.781470000000000255e+03	2.326059197945850865e-01	6.009139633333333563e+01	1.818909066760363361e-03
5.725511323002979771e+04	-1.975566666666666649e+01	1.147822435392672064e-01	-4.978733333333333455e+00	6.928203230275508046e-04	1.632186666666666508e-01	1.183577439610757195e-04	-9.227169867428953864e+01	2.295644870785346070e-01	7.782884333333332506e+03	2.295644870785346070e-01	6.008010099999999198e+01	1.794491492786250879e-03
5.725588684520369861e+04	-1.805866666666666731e+01	1.214756647372364634e-01	-4.976233333333333064e+00	7.505553499465134710e-04	1.636413333333333331e-01	1.277871494147809507e-04	-9.171527130711753273e+01	2.429513294744727325e-01	7.783799666666665871e+03	2.429513294744727325e-01	6.009100800000000930e+01	1.899274981350860441e-03
5.725914204134904867e+04	-1.574666666666666792e+01	1.142447898900503661e-01	-4.966899999999999871e+00	6.928203230275508046e-04	1.652406666666666746e-01	1.187420172755485276e-04	-8.864827483502192251e+01	2.284895797801007322e-01	7.788689333333332797e+03	2.284895797801007322e-01	6.004331133333332815e+01	1.783745226204635527e-03
5.726113331115732581e+04	-1.534333333333333371e+01	1.136866052022992984e-01	-4.965399999999999814e+00	6.928203230275508046e-04	1.655029999999999835e-01	1.181646685303559406e-04	-8.714331250296793030e+01	2.273732104045987912e-01	7.788531666666666752e+03	2.273732104045987912e-01	6.002916700000000105e+01	1.774699459659614433e-03
5.726193471214175224e+04	-1.746600000000000108e+01	1.180403728646552547e-01	-4.968166666666667730e+00	6.928203230275508046e-04	1.650289999999999813e-01	1.239381566212224524e-04	-8.724496609100724243e+01	2.360807457293105094e-01	7.786275666666667348e+03	2.360807457293105094e-01	6.005138033333333425e+01	1.843913608816119239e-03
5.726316294601008121e+04	-1.754966666666666697e+01	1.147516400187488239e-01	-4.971266666666667611e+00	6.928203230275508046e-04	1.644906666666666462e-01	1.195124354292147287e-04	-8.871443166028872440e+01	2.295032800374976478e-01	7.784181666666666388e+03	2.295032800374976478e-01	6.004051700000000125e+01	1.792738463164609414e-03
5.726397461389168893e+04	-1.790966666666666640e+01	1.156463594422649926e-01	-4.970666666666666345e+00	6.928203230275508046e-04	1.645933333333333415e-01	1.198976415299502098e-04	-8.947709968144924630e+01	2.312927188845298188e-01	7.784088999999999942e+03	2.312927188845298188e-01	6.004771966666666572e+01	1.806974166634551680e-03
5.726505711788827466e+04	-1.715433333333333010e+01	1.147627258065252870e-01	-4.972500000000000142e+00	6.928203230275508046e-04	1.642786666666666839e-01	1.187420172755485276e-04	-8.870636918215917888e+01	2.295254516130509348e-01	7.784663666666667268e+03	2.295254516130509348e-01	6.004243400000000719e+01	1.792895923429873662e-03
5.726613164115887048e+04	-1.832600000000000406e+01	1.153437622782741007e-01	-4.972900000000000098e+00	6.928203230275508046e-04	1.642043333333333133e-01	1.200888559914421494e-04	-8.867723702331151969e+01	2.306875245565482013e-01	7.783370333333332383e+03	2.306875245565482013e-01	6.004739366666666456e+01	1.802450476877479925e-03
5.726691520497083548e+04	-1.628233333333333732e+01	1.224799963164756450e-01	-4.973200000000000287e+00	7.505553499465134710e-04	1.641613333333333258e-01	1.299046658985820383e-04	-8.930375044522952521e+01	2.449599926329510680e-01	7.782985000000000582e+03	2.449599926329510680e-01	6.007281733333334017e+01	1.914890058894929336e-03
5.726786173013692314e+04	-1.769933333333333181e+01	1.243958102421445361e-01	-4.972966666666667201e+00	7.895146188218008258e-04	1.642030000000000156e-01	1.335656309751044265e-04	-8.995977183119053677e+01	2.487916204842890722e-01	7.783306000000000495e+03	2.487916204842890722e-01	6.007863933333333506e+01	1.944964122764244715e-03
5.726899904854912165e+04	-1.755566666666666720e+01	1.131740470270490989e-01	-4.972733333333333228e+00	6.928203230275508046e-04	1.642380000000000229e-01	1.166247543763043981e-04	-8.938459795327499080e+01	2.263480940540980590e-01	7.784077000000000226e+03	2.263480940540980590e-01	6.004945466666666221e+01	1.768490787572449263e-03
5.727003197692429239e+04	-1.880266666666666708e+01	1.147574183494910888e-01	-4.974666666666666792e+00	6.928203230275508046e-04	1.639136666666666520e-01	1.187420172755485276e-04	-8.891352581691675994e+01	2.295148366989823441e-01	7.783458333333333030e+03	2.295148366989823441e-01	6.005728566666666524e+01	1.793629071269685175e-03
5.727108115630353859e+04	-1.828000000000000114e+01	1.149902583494899627e-01	-4.974666666666666792e+00	6.928203230275508046e-04	1.639066666666666727e-01	1.189341554530629080e-04	-8.968446235743681427e+01	2.299805166989797589e-01	7.783240666666665675e+03	2.299805166989797589e-01	6.005955700000000519e+01	1.797402818824122899e-03
5.727293564436733868e+04	-1.959433333333333138e+01	1.203904857808393153e-01	-4.979299999999999393e+00	7.505553499465134710e-04	1.631240000000000190e-01	1.266324515192601620e-04	-9.014573974151754499e+01	2.407809715616784640e-01	7.782636999999999716e+03	2.407809715616784640e-01	6.007683533333332804e+01	1.882529161903238402e-03
5.727404854122327379e+04	-1.900000000000000000e+01	1.177361051596291786e-01	-4.977733333333334009e+00	7.125852775477316053e-04	1.633853333333333546e-01	1.230578003306666594e-04	-9.038972985910173463e+01	2.354722103192583293e-01	7.782228333333332557e+03	2.354722103192583293e-01	6.008007966666666988e+01	1.841272360827175348e-03
5.727512443259388965e+04	-1.906566666666666876e+01	1.155446412533316369e-01	-4.977866666666666440e+00	6.928203230275508046e-04	1.633659999999999834e-01	1.200888559914421494e-04	-9.081503402112626588e+01	2.310892825066630796e-01	7.781953666666667232e+03	2.310892825066630796e-01	6.007881300000000380e+01	1.806999776741138528e-03
5.727799895966020995e+04	-1.886666666666666714e+01	1.157507897267749941e-01	-4.977899999999999991e+00	6.928203230275508046e-04	1.633663333333333079e-01	1.197042652168714996e-04	-8.956632859921525380e+01	2.315015794535501825e-01	7.784229666666666162e+03	2.315015794535501825e-01	6.007687433333332905e+01	1.809644265459003530e-03
5.727914781264035992e+04	-1.828799999999999670e+01	1.177406001100617799e-01	-4.979600000000000470e+00	7.505553499465134710e-04	1.630686666666666673e-01	1.233608077506340237e-04	-8.980005652952978323e+01	2.354812002201237542e-01	7.784254000000000815e+03	2.354812002201237542e-01	6.008020666666666898e+01	1.840855157588987615e-03
5.728009598712627485e+04	-1.814566666666666706e+01	1.159931739251796740e-01	-4.978466666666666818e+00	6.928203230275508046e-04	1.632633333333333436e-01	1.206662062606317972e-04	-9.089032414923906344e+01	2.319863478503593479e-01	7.784615333333334092e+03	2.319863478503593479e-01	6.008248100000000136e+01	1.813520739471996329e-03
5.728094982365499891e+04	-1.664700000000000202e+01	1.180662053130835387e-01	-4.978066666666666862e+00	7.505553499465134710e-04	1.633306666666666518e-01	1.233626091379933984e-04	-9.156490763085942319e+01	2.361324106261674383e-01	7.782575333333334129e+03	2.361324106261674383e-01	6.010073766666666728e+01	1.846990888470775643e-03
5.728206901844918320e+04	-1.598033333333333417e+01	1.153638861599073362e-01	-4.971966666666665979e+00	6.928203230275508046e-04	1.643710000000000171e-01	1.200888559914421494e-04	-9.152368446744657149e+01	2.307277723198144503e-01	7.786948333333333721e+03	2.307277723198144503e-01	6.007885600000000181e+01	1.803023547004506530e-03
5.728313381301489426e+04	-1.601800000000000068e+01	1.164341884594571191e-01	-4.971633333333333127e+00	6.928203230275508046e-04	1.644306666666666417e-01	1.216287612185356287e-04	-9.116616748975786777e+01	2.328683769189144603e-01	7.784640999999999622e+03	2.328683769189144603e-01	6.007356166666667008e+01	1.820145210199632666e-03
5.729290288893938850e+04	-1.507166666666666544e+01	1.234987753962108886e-01	-4.964933333333333643e+00	7.505553499465134710e-04	1.655853333333333344e-01	1.324076197874494661e-04	-8.645900799654441471e+01	2.469975507924217772e-01	7.790250333333333401e+03	2.469975507924217772e-01	6.004572399999999988e+01	1.928206546086428698e-03
5.729399593177351926e+04	-1.606766666666666765e+01	1.175551550757973351e-01	-4.962366666666667037e+00	6.928203230275508046e-04	1.660346666666666637e-01	1.235529576065799143e-04	-8.619698072593378413e+01	2.351103101515944760e-01	7.791229000000000269e+03	2.351103101515944760e-01	6.003782000000000352e+01	1.834917637091805021e-03
5.729486595496555674e+04	-1.607266666666666666e+01	1.266749106604015407e-01	-4.965900000000000425e+00	8.082903768654760290e-04	1.654193333333333349e-01	1.383767000297055397e-04	-8.724794055649788049e+01	2.533498213208029148e-01	7.787795999999999367e+03	2.533498213208029148e-01	6.007669733333333539e+01	1.979431964174543403e-03
5.730110538716134761e+04	-1.983699999999999974e+01	1.318744231656448218e-01	-4.984333333333332838e+00	8.660254037844385870e-04	1.622846666666666604e-01	1.427997821349100735e-04	-9.077110119574116709e+01	2.637488463312896436e-01	7.783461999999999534e+03	2.637488463312896436e-01	6.010887800000000425e+01	2.062848954419404558e-03
5.730200421928437572e+04	-1.886733333333333107e+01	1.130486679481327722e-01	-4.983100000000000307e+00	6.928203230275508046e-04	1.624869999999999925e-01	1.166247543763043981e-04	-9.106814316584730307e+01	2.260973358962653501e-01	7.782693333333333612e+03	2.260973358962653501e-01	6.007800933333333404e+01	1.767621001168410673e-03
5.730292134819882631e+04	-1.876766666666666694e+01	1.196303628725233631e-01	-4.986033333333334205e+00	7.505553499465134710e-04	1.619986666666666519e-01	1.258632414788192109e-04	-9.237456257589497000e+01	2.392607257450469482e-01	7.781049333333333379e+03	2.392607257450469482e-01	6.009694700000000012e+01	1.871508747598156800e-03
5.730411825520274579e+04	-2.010533333333333061e+01	1.147737647343207018e-01	-4.986833333333333229e+00	7.318166133366715322e-04	1.618716666666666637e-01	1.193193660354894219e-04	-9.108165456888031031e+01	2.295475294686412093e-01	7.782019666666667035e+03	2.295475294686412093e-01	6.007570366666666217e+01	1.794642874382939256e-03
5.730694149808207294e+04	-1.852466666666667194e+01	1.169693251530112138e-01	-4.982033333333333758e+00	7.505553499465134710e-04	1.626683333333333314e-01	1.222079284571086306e-04	-9.125737721273925729e+01	2.339386503060224276e-01	7.779855666666666366e+03	2.339386503060224276e-01	6.011288200000000614e+01	1.830566719939881416e-03
5.730803354676790332e+04	-1.891366666666666774e+01	1.129395858717136547e-01	-4.981599999999999362e+00	6.928203230275508046e-04	1.627406666666666724e-01	1.170099710850888778e-04	-9.136245695542852729e+01	2.258791717434268931e-01	7.781459999999999127e+03	2.258791717434268931e-01	6.009466866666667073e+01	1.766567244480756957e-03
5.732195510678999563e+04	-1.619399999999999906e+01	1.124719999239470608e-01	-4.966866666666667207e+00	6.928203230275508046e-04	1.652489999999999792e-01	1.160474041071147909e-04	-8.439615293495023707e+01	2.249439998478941216e-01	7.784260999999999513e+03	2.249439998478941216e-01	6.005531066666666362e+01	1.757110409341375995e-03
5.732393824093314470e+04	-1.612300000000000111e+01	1.137890008145371196e-01	-4.973500000000000476e+00	6.928203230275508046e-04	1.641080000000000039e-01	1.175882647205919095e-04	-8.676823573615006069e+01	2.275780016290738228e-01	7.781420333333334383e+03	2.275780016290738228e-01	6.009058066666667486e+01	1.779344368665117292e-03
5.732503690046801057e+04	-1.886533333333333573e+01	1.112249220963068413e-01	-4.974699999999999456e+00	6.928203230275508046e-04	1.639056666666666440e-01	1.137380030303562810e-04	-8.858001279433163688e+01	2.224498441926131276e-01	7.783413000000000466e+03	2.224498441926131276e-01	6.007679366666667420e+01	1.738364209005939130e-03
5.732602413406591950e+04	-1.937233333333333007e+01	1.107006084648808203e-01	-4.975166666666666515e+00	6.928203230275508046e-04	1.638256666666666750e-01	1.131606527611666468e-04	-8.978204852587772677e+01	2.214012169297621957e-01	7.784126999999999498e+03	2.214012169297621957e-01	6.007573966666666365e+01	1.729951577715964015e-03
5.732791467010226188e+04	-1.657900000000000063e+01	1.175730089868885359e-01	-4.976066666666667082e+00	7.125852775477316053e-04	1.636690000000000089e-01	1.229873525566303402e-04	-9.034963630804367085e+01	2.351460179737770995e-01	7.783092666666667355e+03	2.351460179737770995e-01	6.011225133333332593e+01	1.838660282112243062e-03
5.732892672839445731e+04	-1.448233333333333128e+01	1.156818830083898714e-01	-4.973366666666666269e+00	6.928203230275508046e-04	1.641330000000000011e-01	1.200897812286938726e-04	-8.960651713858676715e+01	2.313637660167795207e-01	7.783942333333333409e+03	2.313637660167795207e-01	6.009466733333334076e+01	1.808334395666338001e-03
5.733014761128581449e+04	-1.567999999999999972e+01	1.152235017673318707e-01	-4.973099999999999632e+00	6.928203230275508046e-04	1.641726666666666612e-01	1.202816140009214723e-04	-8.981075732448452698e+01	2.304470035346635193e-01	7.785586666666667043e+03	2.304470035346635193e-01	6.006285100000000199e+01	1.799794288314700416e-03
5.733089984056852700e+04	-1.617633333333333212e+01	1.188721642852076377e-01	-4.974066666666666414e+00	7.505553499465134710e-04	1.640143333333333453e-01	1.249021839503039141e-04	-8.871458995054676677e+01	2.377443285704150810e-01	7.786426666666666279e+03	2.377443285704150810e-01	6.006308766666666799e+01	1.856567922415716014e-03
5.733196093302501686e+04	-1.707900000000000063e+01	1.123248312937786958e-01	-4.973866666666666880e+00	6.928203230275508046e-04	1.640513333333333545e-01	1.152779250333731570e-04	-8.806445685816629521e+01	2.246496625875575859e-01	7.786365000000000691e+03	2.246496625875575859e-01	6.004196199999999095e+01	1.753681876885115074e-03
5.733296084970870288e+04	-1.724966666666666626e+01	1.122576998299443934e-01	-4.970800000000000551e+00	6.928203230275508046e-04	1.645689999999999931e-01	1.154700538379251567e-04	-8.788960640940267410e+01	2.245153996598886204e-01	7.785151000000000749e+03	2.245153996598886204e-01	6.006051299999999316e+01	1.753431154088746060e-03
5.733409681480474683e+04	-1.603633333333333510e+01	1.119832792678239070e-01	-4.969899999999999984e+00	6.928203230275508046e-04	1.647243333333333615e-01	1.154710160843644781e-04	-8.819511068431414458e+01	2.239665585356479804e-01	7.783076000000000022e+03	2.239665585356479804e-01	6.007843600000000350e+01	1.750117619871344827e-03
5.733490896242979943e+04	-1.656066666666666620e+01	1.193545096487881874e-01	-4.971466666666667145e+00	7.505553499465134710e-04	1.644589999999999941e-01	1.256719715944826265e-04	-9.075540797834173645e+01	2.387090192975763747e-01	7.781125666666666802e+03	2.387090192975763747e-01	6.010922233333332798e+01	1.866734101626181747e-03
5.734501944719991297e+04	-1.352233333333333398e+01	1.129101929225829609e-01	-4.961933333333333529e+00	6.928203230275508046e-04	1.661133333333333351e-01	1.166247543763043981e-04	-8.553501512649718563e+01	2.258203858451659218e-01	7.787776000000000749e+03	2.258203858451659218e-01	6.000820366666666672e+01	1.761238179649368555e-03
5.734695019914199656e+04	-1.399966666666666804e+01	1.151892195818450676e-01	-4.961700000000000443e+00	6.928203230275508046e-04	1.661543333333333206e-01	1.200897812286938726e-04	-8.566006910440103184e+01	2.303784391636905238e-01	7.788453333333333831e+03	2.303784391636905238e-01	6.000854899999999503e+01	1.796610206503523400e-03
5.734791556843950821e+04	-1.570466666666666633e+01	1.187494115665605338e-01	-4.962566666666666571e+00	7.125852775477316053e-04	1.660046666666666615e-01	1.256719715944826265e-04	-8.610383397111384340e+01	2.374988231331209010e-01	7.787311000000000604e+03	2.374988231331209010e-01	6.003396733333332946e+01	1.853187327287316236e-03
5.734997599724294560e+04	-1.618599999999999994e+01	1.130993301547511404e-01	-4.964500000000000135e+00	6.928203230275508046e-04	1.656633333333333569e-01	1.172021046454940323e-04	-8.659532176766980172e+01	2.261986603095026693e-01	7.785107333333333372e+03	2.261986603095026693e-01	6.005616166666666089e+01	1.766154126327677517e-03
5.735117235232754319e+04	-1.667133333333333312e+01	1.227052459494473724e-01	-4.967699999999999783e+00	7.505553499465134710e-04	1.651076666666666803e-01	1.324109763828764470e-04	-8.884190730444447581e+01	2.454104918988947448e-01	7.784137666666666519e+03	2.454104918988947448e-01	6.008035966666667349e+01	1.917162196734208818e-03
5.735307491231716995e+04	-1.611966666666666725e+01	1.161815748858312930e-01	-4.969233333333333391e+00	6.928203230275508046e-04	1.648439999999999905e-01	1.208589627991606157e-04	-8.970396041460196557e+01	2.323631497716628080e-01	7.784441333333333205e+03	2.323631497716628080e-01	6.007030766666665755e+01	1.814843015319248486e-03
5.735491036255299696e+04	-1.387833333333333208e+01	1.236248839769044094e-01	-4.973933333333333984e+00	7.702813338860895051e-04	1.640346666666666620e-01	1.316392376493000238e-04	-8.799348594334590246e+01	2.472497679538085968e-01	7.784918999999998960e+03	2.472497679538085968e-01	6.007634200000000391e+01	1.931173128110814279e-03
5.736092306400713278e+04	-1.825233333333333618e+01	1.222865931159018982e-01	-4.980466666666666598e+00	7.505553499465134710e-04	1.629263333333333674e-01	1.297133592023410448e-04	-8.973241895731575823e+01	2.445731862318039906e-01	7.782869666666666490e+03	2.445731862318039906e-01	6.010221933333333055e+01	1.911584604808467440e-03
5.736797031061255257e+04	-1.647466666666666768e+01	1.176256894279884557e-01	-4.963466666666666249e+00	6.928203230275508046e-04	1.658396666666666908e-01	1.231683581300183137e-04	-8.885818393318020014e+01	2.352513788559769115e-01	7.788331333333332623e+03	2.352513788559769115e-01	6.003515033333334117e+01	1.835391890871371700e-03
5.737199894209040212e+04	-1.420166666666666622e+01	1.195043258403353376e-01	-4.961866666666666426e+00	7.125852775477316053e-04	1.661223333333333441e-01	1.261969360431015592e-04	-8.879433504989329151e+01	2.390086516806708694e-01	7.788104999999999563e+03	2.390086516806708694e-01	6.004900500000000108e+01	1.865226008330032404e-03
5.737910503113822779e+04	-1.884200000000000230e+01	1.199698136682173510e-01	-4.968066666666666187e+00	7.505553499465134710e-04	1.650423333333333464e-01	1.272098004610231837e-04	-8.955905604470727610e+01	2.399396273364346743e-01	7.788025666666665529e+03	2.399396273364346743e-01	6.006968066666667028e+01	1.873301488050571053e-03
5.737996942719434446e+04	-1.665966666666666640e+01	1.209713748537634831e-01	-4.966033333333332855e+00	7.505553499465134710e-04	1.653900000000000092e-01	1.281717597600969341e-04	-8.997084937732546450e+01	2.419427497075271605e-01	7.787483666666666977e+03	2.419427497075271605e-01	6.007397299999999518e+01	1.889230397289287612e-03
5.738097406124865665e+04	-1.705433333333333223e+01	1.205595755730903829e-01	-4.965900000000000425e+00	7.505553499465134710e-04	1.654146666666666821e-01	1.275944094909072998e-04	-9.048457625340212473e+01	2.411191511461805714e-01	7.787153333333334558e+03	2.411191511461805714e-01	6.008094933333333643e+01	1.883123390498413338e-03
5.738614630625353311e+04	-1.747933333333333294e+01	1.225909733269903018e-01	-4.971833333333333549e+00	7.505553499465134710e-04	1.643916666666666582e-01	1.314453836727973082e-04	-8.624865398156400431e+01	2.451819466539804093e-01	7.788326000000000022e+03	2.451819466539804093e-01	6.004907733333333653e+01	1.913681493679475097e-03
5.738694872872376436e+04	-1.759966666666666413e+01	1.220640536627576739e-01	-4.973333333333333606e+00	7.505553499465134710e-04	1.641426666666666589e-01	1.297125026099385937e-04	-8.694415644781385311e+01	2.441281073255151535e-01	7.785903666666666140e+03	2.441281073255151535e-01	6.007498466666666559e+01	1.906910987115081673e-03
5.738800573108796380e+04	-1.855799999999999628e+01	1.180982583825722493e-01	-4.977599999999999802e+00	7.505553499465134710e-04	1.634166666666666823e-01	1.237457069962429100e-04	-8.886100376582108140e+01	2.361965167651444986e-01	7.782037666666667064e+03	2.361965167651444986e-01	6.009210300000000160e+01	1.846451278817695532e-03
5.739108672644887702e+04	-1.944266666666666765e+01	1.187996259921652586e-01	-4.979733333333332901e+00	7.505553499465134710e-04	1.630529999999999757e-01	1.245155055047808394e-04	-9.164795100989870491e+01	2.375992519843309336e-01	7.785195666666666511e+03	2.375992519843309336e-01	6.008765366666666097e+01	1.856602794648828025e-03
5.739415124080735404e+04	-1.732466666666666910e+01	1.223926228901894425e-01	-4.971466666666667145e+00	7.505553499465134710e-04	1.644609999999999961e-01	1.312529364750874140e-04	-9.132830785396799911e+01	2.447852457803787185e-01	7.786441666666666606e+03	2.447852457803787185e-01	6.004773599999999334e+01	1.911272846549014366e-03
5.739493107354779204e+04	-1.616766666666666552e+01	1.246057368475433219e-01	-4.970233333333332837e+00	7.702813338860895051e-04	1.646656666666666824e-01	1.341396453120569619e-04	-9.027825726740333323e+01	2.492114736950870324e-01	7.786831999999999425e+03	2.492114736950870324e-01	6.005398299999999523e+01	1.945963347127139089e-03
5.739607887145155837e+04	-1.772100000000000009e+01	1.186530456725765625e-01	-4.965766666666667106e+00	6.928203230275508046e-04	1.654433333333333311e-01	1.250928544011296406e-04	-8.930395823400442623e+01	2.373060913451529308e-01	7.787886666666666315e+03	2.373060913451529308e-01	6.004434633333332982e+01	1.852484973747063829e-03
5.739706415438615659e+04	-1.709866666666666646e+01	1.182510355725649026e-01	-4.965466666666666917e+00	6.928203230275508046e-04	1.654909999999999992e-01	1.247076581449591828e-04	-8.922410652723908697e+01	2.365020711451294444e-01	7.788087333333332936e+03	2.365020711451294444e-01	6.004898399999999725e+01	1.846336515751828035e-03
5.739810578269722464e+04	-1.542166666666666686e+01	1.187897931274002894e-01	-4.965866666666666873e+00	7.505553499465134710e-04	1.654280000000000195e-01	1.260551025896567659e-04	-8.879665477668527274e+01	2.375795862548002180e-01	7.789169999999999163e+03	2.375795862548002180e-01	6.005015499999999662e+01	1.854556942511721490e-03
5.739906009629162145e+04	-1.600400000000000134e+01	1.176454872991128525e-01	-4.965799999999999770e+00	6.928203230275508046e-04	1.654330000000000245e-01	1.241303078757695214e-04	-8.838102582390486361e+01	2.352909745982257050e-01	7.787278999999999542e+03	2.352909745982257050e-01	6.004805266666667052e+01	1.837118449781698646e-03
5.740593707657718187e+04	-1.843699999999999761e+01	1.254707147808357959e-01	-4.974366666666666603e+00	8.082903768654760290e-04	1.639616666666666722e-01	1.352943293547647296e-04	-9.116269761306510588e+01	2.509414295616715918e-01	7.784824666666667326e+03	2.509414295616715918e-01	6.008522633333333118e+01	1.961425532874869378e-03
5.740711138087360450e+04	-1.951300000000000168e+01	1.192864970751797565e-01	-4.972066666666666634e+00	7.505553499465134710e-04	1.643519999999999981e-01	1.264397089525280584e-04	-9.060069496252329202e+01	2.385729941503596796e-01	7.786581999999999425e+03	2.385729941503596796e-01	6.007279033333333018e+01	1.863977228603740923e-03
5.740817011640279816e+04	-1.935766666666666325e+01	1.235696722268031650e-01	-4.970566666666666578e+00	7.895146188218008258e-04	1.646080000000000043e-01	1.341396453120569619e-04	-9.162127249700863274e+01	2.471393444536068851e-01	7.786271333333333132e+03	2.471393444536068851e-01	6.008261766666666404e+01	1.931341025926082726e-03
5.741299663055427663e+04	-1.458899999999999864e+01	1.195582339701473512e-01	-4.967933333333333756e+00	7.505553499465134710e-04	1.650663333333333427e-01	1.264397089525280584e-04	-8.872566014699009429e+01	2.391164679402948412e-01	7.788263666666666722e+03	2.391164679402948412e-01	6.004373933333332758e+01	1.867117743814679940e-03
5.741416605086105119e+04	-1.918266666666666964e+01	1.267979164908424050e-01	-4.970466666666666811e+00	8.082903768654760290e-04	1.646333333333333260e-01	1.387599846257318501e-04	-8.869275431264793497e+01	2.535958329816849766e-01	7.788324999999999818e+03	2.535958329816849766e-01	6.007316733333333758e+01	1.981178133532001100e-03
5.741799256408346992e+04	-1.764166666666666927e+01	1.191594318831334515e-01	-4.973466666666666036e+00	7.505553499465134710e-04	1.641136666666666855e-01	1.260551025896567659e-04	-9.086699711589101014e+01	2.383188637662673193e-01	7.785909999999999854e+03	2.383188637662673193e-01	6.007635766666666655e+01	1.862644551724265988e-03
5.741904987369654555e+04	-1.698000000000000043e+01	1.178133303651747316e-01	-4.976933333333332321e+00	7.505553499465134710e-04	1.635236666666666505e-01	1.241303078757695214e-04	-8.989579836574206695e+01	2.356266607303492966e-01	7.787253666666666504e+03	2.356266607303492966e-01	6.005856599999999190e+01	1.840764933815364603e-03
